Name,Email,Phone Number,Combined Address,Address, City, State,Zip,Website,GPS Coordinates,Par / Yards,Price Range /season,Twitter,Facebook
Challenge at Manele Bay,concierge.manele@fourseasons.com,1 (808) 565-2000,"1 Challenge Dr, Lanai City, HI ",1 Challenge Dr, Lanai City, HI ,96763,http://www.fourseasons.com/manelebay/services_and_amenities/golf/the_challenge_at_manele/?c=t&_s_icmp=mmenu,,,,@FSLanai,https://www.facebook.com/FourSeasonsResortsLanai
Chambers Bay,info@chambersbaygolf.com,(253) 460-4653,"        6320 Grandview Dr W, University Place, WA",        6320 Grandview Dr W, University Place, WA,98467,http://www.chambersbaygolf.com/-home,,,,@ChambersBayGolf,https://www.facebook.com/ChambersBayGolf
"Champion Lakes
",championlakes@comcast.net,(724) 238-5440,Bolivar,,Bolivar,,15923,http://www.pagolf.com,,,,no account,no actual page
"Champions GC (Cypress Creek)
",*no email listed,(281) 444-6262,"13722 Champions Dr.  Houston, TX",13722 Champions Dr. ,Houston, TX,77069,http://www.championsgolfclub.com,,,,no account,no page found
Chariot Run,*no email,(812) 969-6205,"8191 Chariot Run Dr SE , Laconia, IN",8191 Chariot Run Dr SE , Laconia, IN,47135,http://chariotrun.com,,,,@HorseshoeSI,https://www.facebook.com/chariotrungc
Charles River CC,,(617) 332-1320,"483 Dedham St, Newton, MA",483 Dedham St, Newton, MA,02459,http://www.charlesrivercc.org,,"Par- 72 // 6,657 yards",,,
Charlotte CC,no email listed for general infoâ€” just employment and membership,(704) 334-0836,"2465 Mecklenburg Ave, Charlotte, NC",2465 Mecklenburg Ave, Charlotte, NC,28205,http://www.charlottecountryclub.org/,,,,no account,no actual page
Chechesee Creek,,(843) 987-7000,"18 Schechesseee Creek Dr, Okatie, SC",18 Schechesseee Creek Dr, Okatie, SC,29909,http://www.chechesseecreekclub.com,,,,,
Chena Bend GC,*no listed email (email link ERROR),907-353-6223,"2092 Bldg Gafeney, Fort Wainwright, AK",2092 Bldg Gafeney, Fort Wainwright, AK,99703,http://ftwainwrightfmwr.com/chenabendgolf.html,,Par-72 // 6475 - 7012 yards,$26 - $42 for 18 holes //,not listed on site,not listed on site
Cherokee Hills GC,cherokee.golf@cnent.com,(918) 384-7600,"770 W Cherokee St, Catoosa, OK",770 W Cherokee St, Catoosa, OK,74015,http://www.hardrockcasinotulsa.com/golf/cherokee-hills/,,,,@TulsaHardRock,https://www.facebook.com/HardRockTulsa
Cherry Blossom GCC,cherryblossomgolf@yahoo.com,(502) 570-0530,Georgetown,,Georgetown,,40324,http://www.cherryblossomgolf.com,,,,@CherryBlossomGC,https://www.facebook.com/cherryblossomgolf?rf=175430785841269
Cherry Hills CC,,(303) 350-5200,"4125 S University Blvd, Englewood, CO",4125 S University Blvd, Englewood,,80113,http://www.chcc.com,,,,no account,no actual page
Chicago GC,,,"Wheaton, IL",,Wheaton, IL,,,,,,,
Chicago Highlands,info@chicagohighlands.com,(708) 947-2190,"2 Bluebird Trail, Westchester, IL",2 Bluebird Trail, Westchester,,,,,"Par-72 // 7,500+ yards",,no account,https://www.facebook.com/chihigh
Circling Raven,(Media / Public Relations) pr@cdacasino.com,1-800-523-2464,Worley,,Worley,,83876,https://www.cdacasino.com/golf/,,,,@CirclingRaven1,https://www.facebook.com/circling.raven
Clear Creek,,775-781-3304,"199 Old Clear Creek RoadCarson City, NV",199 Old Clear Creek Road,Carson City, NV,,http://www.clearcreektahoe.com,,,,no account,no page listed
Cliffs at Keowee Vineyards,,,"Sunset, SC",,Sunset, SC,,,,,,,
Cliffs at Mountain Park,,,"Travelers Rest, SC",,Travelers Rest, SC,,,,,,,
Club at Savannah Harbor,"(Dana Schultz, Director of Golf) dana.schultz@westin.com",(912) 201-2240,"2 Resort Dr, Savannah, GA ",2 Resort Dr, Savannah,,31421,http://www.theclubatsavannahharbor.com/index.php,,,,@SavannahHarbor,https://www.facebook.com/TheClubAtSavannahHarbor
Coeur d'Alene Resort,(Media contact) malauddin@blue541.com,208-765-4000,"115 S 2nd St, Coeur d'Alene, ID",115 S 2nd St, Coeur d'Alene,,83814,http://www.cdaresort.com/discover/golf,,,,@CDAResort,https://www.facebook.com/CDAResortGolf
Cog Hill (No. 4-Dubsdread),coghill@coghillgolf.com,866.264.4455,Lemont,,Lemont,,60439,http://www.coghillgolf.com/-home,,,,@CogHillGolf,https://www.facebook.com/pages/Cog-Hill-Golf-Country-Club/78931139310
Colbert Hills,"(Steve Lambert, Generl Manager) stevelambert@colberthills.com",(785) 776-6475,"5200 Colbert Hills Dr, Manhattan, KS ",5200 Colbert Hills Dr, Manhattan, KS ,66503,http://www.colberthills.com/-home,,,,@colbert_hills,https://www.facebook.com/pages/Colbert-Hills/94597926220?rf=156264571057751
Colonial CC,*no email listed,(817) 927-4201,"3735 Country Club Cir, Fort Worth, TX ",3735 Country Club Cir, Fort Worth, TX ,76109,https://www.colonialfw.com,,,,no account,no actual page
Colorado GC,"no email listed, no contact form",(303) 840-0090,"8000 Preservation Trail, Parker, CO",8000 Preservation Trail, Parker, CO,80134,http://www.coloradogolfclub.com/,,,,@ColoradoGC,https://www.facebook.com/ColoradoGolfClub
CommonGround GC,*no email listed,303-340-1520,"10300 E. Golfers Way, Aurora, CO",10300 E. Golfers Way, Aurora, CO,80010,http://www.commongroundgc.com,,,,@CommonGroundGC,https://www.facebook.com/CommonGroundGC
Concession GC,"(Dan Terlescki, head golf professional) dterlescki@concessiongolfclub.com",941.322.1922," 7700 Lindrick Lane, Bradenton, FL", 7700 Lindrick Lane, Bradenton, FL,34202,http://www.theconcession.com/Home.aspx,,,,no account,https://www.facebook.com/pages/The-Concession-Golf-Club/178531878875466
Conestoga GC,"*no email listed, contact form",702.346.4292,Mesquite,,Mesquite,,89034,http://www.conestogagolf.com/index.php,,,,,https://www.facebook.com/ConestogaGolfClub
Congressional CC,,301-469-2000,"8500 River Rd, Bethesda, MD",8500 River Rd, Bethesda, MD,20817,http://www.ccclub.org,,,,,
Conservatory at Hammock Beach,"*no email listed, contact form for guests",(386) 246-6710,"300 Conservatory Drive Palm Coast, FL ",300 Conservatory Drive ,Palm Coast, FL ,32137,"
http://www.hammockbeach.com/golf/hammock-beach-courses/conservatory-course",,,,@HammockResort,https://www.facebook.com/HammockBeachResort
Contraband Bayou GC at L'Auberge,,,Lake Charles,,Lake Charles,,,https://www.llakecharles.com/amenities/golf-course/,,,$39-$99,no account,no account
Coral Canyon,"(Mark Whetzel, Director of Golf) Mark@vanguardgolf.com",(435) 688-1700,"1925 Canyon Greens Dr, Washington, UT ",1925 Canyon Greens Dr, Washington, UT ,84780,http://www.coralcanyongolf.com/index.php,,,,no account,https://www.facebook.com/pages/Coral-Canyon-Golf-Course/106386712742166
CordeValle GC,"(Pieter Ruig, Media Contact) pruig@discovercrc.com",888 966 9511,San Martin,,San Martin,,95046,http://www.cordevallegolf.com,,,,@CordeValleGolf,https://www.facebook.com/cordevallegolf
Cordillera Ranch,*no email listed; contact form available,888-66-RANCH,"808 Hwy 46 East Boerne, TX",808 Hwy 46 ,East Boerne, TX,78006,http://www.cordilleraranch.com,,,,@CordilleraRanch,https://www.facebook.com/Cordillera.Ranch
Country Club of Birmingham (West),no email listed; site for members only,(205) 879-4611,"3325 Country Club Rd, Mountain Brook, AL",3325 Country Club Rd, Mountain Brook, AL,35213,http://www.ccbham.org/,,Par - 36 // 3218 yards,"starts at $125 for 2 players, (min. two players)",no account,no actual page
Country Club of Charleston,,(843) 795-8009,"1 Country Club Dr, Charleston, SC",1 Country Club Dr, Charleston, SC,29412,http://www.countryclubofcharleston.com/,,,,,
Country Club of Detroit,,(313) 881-8000,"220 Country Club Drive - Grosse Pointe Farms, MI",220 Country Club Drive,Grosse Pointe Farms, MI,,http://www.ccofd.com/,,,,,
Country Club of Fairfield,,(203) 259-1601,"936 Sasco Hill Rd, Fairfield, CT",936 Sasco Hill Rd, Fairfield, CT,06824,http://www.ccfairfield.com,,,,,
Country Club of Florida,tccf@ccfgolf.com,(561) 732-9771,"22 Country Rd, Golf, FL ",22 Country Rd, Golf, FL ,33436,http://www.ccfgolf.com,,,,,
Country Club of Rochester,ccofrochester@ccrochester.com,(585) 381-1800,"2935 East Ave, Rochester, NY",2935 East Ave, Rochester, NY,14610,http://www.ccrochester.org/,,,,no account,no actual page
Country Club of Troy,bducatte@countrycluboftroy.com,(518) 274-1000,"100 Troy Country Club Rd, Troy, NY ",100 Troy Country Club Rd, Troy, NY ,12180,http://countrycluboftroy.com,,,,@Troycc,https://www.facebook.com/CountryClubOfTroy
Cowboys,"(Hagen Cleek, General Manager) hcleek@eaglegolf.com",(817) 481-7277,"1600 Fairway Dr, Grapevine, TX ",1600 Fairway Dr, Grapevine, TX ,76051,http://www.cowboysgolfclub.com/-home,,,,not listed on site,not listed on site
Coyote Moon,"(Ed McGargill, General Manager) emcgargill@coyotemoongolf.com",(530) 587-0886,"10685 Northwoods Blvd, Truckee, CA",10685 Northwoods Blvd, Truckee, CA,96161,www.coyotemoongolf.com/,,,$100-$155,not listed on site,https://www.facebook.com/CoyoteMoonGolfCourse
Coyote Springs GC,*no email listed,(702) 422-1400,"3100 Nevada 168, Coyote Springs, NV",3100 Nevada 168, Coyote Springs, NV,89037,http://www.coyotesprings.com/index.html,,,,,https://www.facebook.com/pages/Coyote-Springs-Golf-Club/288271859939
Creek Club,no email listed,(516) 676-1405,"1 Horse Hollow Rd, Locust Valley, NY ",1 Horse Hollow Rd, Locust Valley, NY ,11560,http://www.creek.net,,,,no account,no actual page
Crooked Stick Golf Club,(website won't load),(317) 844-9938,"1964 Burning Tree Ln, Carmel, IN",1964 Burning Tree Ln, Carmel, IN,46032,http://www.crookedstick.org,,,,no account,no actual page
Crooks Creek,call,(740) 983-3636,"16405 U.S. 23, South Bloomfield, OH ",16405 U.S. 23, South Bloomfield, OH ,43103,"
http://www.cookscreek.com",,,,?,?
Crown Colony,"(Lin Lentz, General Manager) llentz@crown-colony.com",(936) 637-8811,"
        900 Crown Colony Dr, Lufkin, TXÂ ","
        900 Crown Colony Dr", Lufkin, TXÂ ,75901,http://www.crown-colony.com,,,,widget brings you to home page,https://www.facebook.com/lufkincrowncolony
Crumpin-Fox,crumpinfox@golfthefox.com,(413) 648-9101,"87 Parmenter Rd, Bernardston, MA",87 Parmenter Rd, Bernardston, MA,01337,http://golfthefox.com/crumpin-fox/,,,,no account,https://www.facebook.com/crumpinfoxclub
Crystal Downs,,(231) 352-9933,"249 Crystal Downs Dr, Frankfort, MI",249 Crystal Downs Dr, Frankfort, MI,49635,?,,,,,
Crystal Springs Resort (Ballyowen),*no email listed,(973) 827-5996,"137 Wheatsworth Rd, Hamburg, NJ",137 Wheatsworth Rd, Hamburg, NJ,07419,http://www.crystalgolfresort.com/Golf/,,,,,
Crystal Springs Resort (Wild Turkey),"*no email listed, contact form",(973) 827-5996,"1 Wild Turkey Way, Hamburg, NJ",1 Wild Turkey Way, Hamburg, NJ,07419,http://www.crystalgolfresort.com/content/article.aspx?SID=2&CID=183&AID=447,,,,@NJGolfResort,https://www.facebook.com/CrystalSpringsResort
Currahee Club,,(706) 827-1700,"Currahee Club Dr, Toccoa, GA",Currahee Club Dr, Toccoa, GA,30577,http://www.curraheeclub.com,,,,,
Cypress Point Club,,(831) 624-2223,"3150 17 Mile Dr, Pebble Beach, CA",3150 17 Mile Dr, Pebble Beach, CA,93953,http://www.montereypeninsulagolf.com/Cypress-Point-Club,,,,no account,no actual page
Dacotah Ridge,*no email listed,(507) 697-8007,"31042 County Highway 2, Morton, MN",31042 County Highway 2, Morton, MN,56270,http://www.dacotahridge.com,,,,@dacotahridge,https://www.facebook.com/dacotahridge
Dalhousie GC,"(Bill Morrow, GM of golf) Bill@dalhousiegolfclub.com",(573) 332-0818,"4700 Cords Way, Cape Girardeau, MO",4700 Cords Way, Cape Girardeau, MO,63701,http://www.dalhousiegolfclub.com,,"Par - 72 // 7,389 yards",,@DalhousieGC,https://www.facebook.com/DalhousieGolfClub
Dallas National GC,"(David Denley, GM) DDenley@DallasNationalGolfClub.com",(214) 331-4195,"1515 Knoxville Street, Dallas, TX",1515 Knoxville Street, Dallas, TX,75211,http://www.dallasnationalgolfclub.com,,,,no account,no actual page
Dancing Rabbit (Azaleas),Mpowell@pearlriverresort.com,(601) 663-0011,"13541 Mississippi 16, Philadelphia, MS",13541 Mississippi 16, Philadelphia, MS,39350,http://www.dancingrabbitgolf.com/azaleas.html,,,,no account,"no real page, but: https://www.facebook.com/pages/Dancing-Rabbit-Inn/286232621476648"
Dancing Rabbit (Oaks),Mpowell@pearlriverresort.com,(601) 663-0011,"13541 Mississippi 16, Philadelphia, MS",13541 Mississippi 16, Philadelphia, MS,39350,http://www.dancingrabbitgolf.com/oaks.html,,,,no account,"no real page, but: https://www.facebook.com/pages/Dancing-Rabbit-Inn/286232621476648"
DarkHorse,"(Geno Ivaldi, Director of Golf) geno@darkhorsegolf.com",(530) 269-7900,"24150 Darkhorse Dr, Auburn, CA",24150 Darkhorse Dr, Auburn, CA,95602,http://www.darkhorsegolf.com,,,,no account,link on website; not a real page
Deacon's Lodge,"*no email listed, contact form",1-800-432-3777,"9348 Arnold Palmer Dr, Breezy Point, MN",9348 Arnold Palmer Dr, Breezy Point, MN,56472,http://www.breezypointresort.com/,,,,no account,https://www.facebook.com/DeaconsLodge
Dedham Country & Polo Club,golf@dedhamclub.org,781 326-3090,"124 Country Club Road - Dedham, MA",124 Country Club Road,Dedham, MA,02026,http://www.dedhamclub.org/,,?,?,,https://www.facebook.com/pages/Dedham-Country-Polo-Club/570769536332167?rf=120110774672872
Deepdale GC,"(Scott Heaney, GM) scott@deepdalegolfclub.com",(516) 365-9111,"300 N Service Rd, Manhasset, NY ",300 N Service Rd, Manhasset, NY ,11030,http://www.deepdalegolfclub.com,,,,no account,no actual page
Deerfield Golf,dfinfo@deerfieldgolfclub.com,302-368-6640,Newark,,Newark,,19711,http://www.deerfieldgolfclub.com,,,,@DeerfieldGTC,https://www.facebook.com/deerfieldde
Delaware Springs GC,dsprings@cityofburnet.com,(512) 756-8471,"600 Delaware Springs Blvd. Burnet, TX",600 Delaware Springs Blvd.,Burnet, TX,78611,"
http://www.delawaresprings.com",,"Par 72, 6891-4931 yards",,not listed on site,https://www.facebook.com/delawarespringsgolfcourse
Desert Canyon,info@desertcanyon.com,(509) 784-1111,"1201 Desert Canyon Blvd, Orondo, WA",1201 Desert Canyon Blvd, Orondo, WA,98843,http://www.desertcanyon.com,,,,@DesertCanyonGC,https://www.facebook.com/pages/Desert-Canyon-Golf-Resort/112243078838358
Desert Forest Golf Club,"(Roger Bacon, club magager) rbacon@desertforestgolfclub.com",(480) 488-4589,"37207 N. Mule Train Road, Carefree, AZ",37207 N. Mule Train Road, Carefree, AZ,85377,http://www.desertforestgolfclub.com,,,,no account,no actual page
Desert Highlands,,,"Scottsdale, AZ",,Scottsdale, AZ,,http://www.deserthighlandsscottsdale.com/golf,,,,,
Devil's Thumb,"*no email listed, contact form (asks for phone number on form) ",(970) 874-6262,"3530 County Highway 83, Tabernash, CO ",3530 County Highway 83, Tabernash, CO ,81416,http://www.devilsthumbgolfclub.com,,,,@GolfDevilsThumb,https://www.facebook.com/devilsthumbgolf
Diamond Creek GC,"no email listed, but media contact -- jmcneely@diamondcreekgc.com",(828) 898-1800,"25 Rock Rose, Banner Elk, NC",25 Rock Rose, Banner Elk, NC,28604,http://www.diamondcreekgc.com,,,,no account,no actual page
Dismal River Club (Doak),genmail@dismalriver.com,308-546-2900,"Mullen, NE",,Mullen, NE,69152,,,,,@DismalRiver,https://www.facebook.com/DismalRiverGolfClub
Dismal River Club (Niklaus),,,"Mullen, NE",,Mullen, NE,,,,,,@DismalRiver,https://www.facebook.com/DismalRiverGolfClub
Dormie Club,"(Dean Allgeyer, Director of Golf) deana@dormieclub.com",(910) 947-3240,"6033 Beulah Hill Church Rd, West End, NC ",6033 Beulah Hill Church Rd, West End, NC ,27376,http://www.dormieclub.com,,,,not listed on site,https://www.facebook.com/DormieClub
Double Eagle GC,,(740) 548-4017,"6025 Cheshire Road, Galena, OH",6025 Cheshire Road, Galena, OH,43021,http://www.doubleeagleclub.net,,,,,
Duke University GC,"*no email listed, contact form",(919) 681-2288,"3001 Cameron Blvd, Durham, NC",3001 Cameron Blvd, Durham, NC,27705,http://golf.duke.edu,,,,not listed on site,not listed on site
Dunes Club,,(269) 469-5539,"10600 Marquette Dr, New Buffalo, MI",10600 Marquette Dr, New Buffalo, MI,49117,no website?,,,,,
"Dunes Golf, Beach Club",bgreenwood@thedunesclub.net,(843) 449-5236,"9000 N Ocean Blvd, Myrtle Beach, SC ",9000 N Ocean Blvd, Myrtle Beach, SC ,29572,http://www.thedunesclub.net,,,,not listed on site,https://www.facebook.com/TheDunesClub
Eagle Point Club,,,"Wilmingon, NC",,Wilmingon, NC,,,,,,,
Eagle Ridge (The General),*no email listed,(815) 777-5000,"109 Eagle Ridge Dr, Galena IL ",109 Eagle Ridge Dr, Galena,IL,61036,http://www.eagleridge.com/golf/courses-en.html,,,,@EagleRidge63,https://www.facebook.com/EagleRidgeResort
Eagleglen,*no listed email,907-552-3821,"4414 1st St, Joint Base Elmendorf-Richardson, AK",4414 1st St, Joint Base Elmendorf-Richardson, AK,99506,no website?,,,,no account,no actual page
EagleSticks GC,info@eaglesticks.com,(740) 454-4900,"2655 Maysville Pike, Zanesville, OH",2655 Maysville Pike, Zanesville, OH,43701,http://www.eaglesticks.com,,,,not listed on site,https://www.facebook.com/eaglesticksgolfclub
East Lake GC,administration@eastlakegolfclub.com,(404) 373-5722,"2575 Alston Dr SE, Atlanta, GA",2575 Alston Dr SE, Atlanta, GA,30317,http://www.eastlakegolfclub.com,,,,,
Eastward Ho!,,(508) 945-0003,"325 Fox Hill Rd, Chatham, MA",325 Fox Hill Rd, Chatham, MA,02633,http://www.eastwardho.org,,,,,
Edgewood Tahoe,edgewood@edgewoodtahoe.com,(775) 588-2787,Tahoe,,Tahoe,,89449,http://www.edgewoodtahoe.com,,,,@EdgewoodTahoe,https://www.facebook.com/EdgewoodTahoe
Ekwanok CC,clubhouse@ekwanok.com,(802) 362-2220,"3262 Main St, Manchester, VT",3262 Main St, Manchester, VT,05254,http://www.ekwanok.com/,,,,no account,no actual page
Elyria CC,"Doesn't say his title, just to contact him for info - Nick Fox - nickfox@pga.com",(440) 322-6391,"41625 Oberlin Elyria Rd, Elyria, OH",41625 Oberlin Elyria Rd, Elyria, OH,44035,http://www.elyriacc.com,,,,@ElyriaCC,https://www.facebook.com/pages/Elyria-Country-Club/160421497348162
Emerald Dunes,,(561) 687-1700,"2100 Emerald Dunes Dr, West Palm Beach, FL",2100 Emerald Dunes Dr, West Palm Beach, FL,33411,http://emeralddunesclub.com,,,,,
Engineers CC,contact@engineerscc.com,(516) 621-5350,"55 Glenwood Rd, Roslyn, NY",55 Glenwood Rd, Roslyn, NY,11576,http://www.engineerscc.com,,,,no account,no actual page
Entrada at Snow Canyon,"*no email listed, contact form",(435) 986-2200,"2537 W Entrada Trail, St George, UT ",2537 W Entrada Trail, St George, UT ,84770,"
http://www.golfentrada.com",,,,no account,no real page
Erin Hills,info@erinhills.com,(262) 670-8600,"7169 County Highway O, Hartford, WI",7169 County Highway O, Hartford, WI,53027,https://www.erinhills.com/default.aspx,,,,@ErinHillsGolf,https://www.facebook.com/ErinHillsGolf
Escondido,info@escondidotexas.com,(830) 598-6311,"9090 Farm to Market 2147, Horseshoe Bay, TX ",9090 Farm to Market 2147, Horseshoe Bay, TX ,78657,http://www.escondidotexas.com,,,,@GolfEscondido,https://www.facebook.com/EscondidoTexas
Essex CC,info@essexcc.org,978-526-7311,"Manchester-by-the-Sea, MA",,Manchester-by-the-Sea, MA,01944,http://www.essexcc.org/,,,,,
Essex County CC,DPereira@essexcountycc.com,(973) 731-1400,"350 Mt Pleasant Ave, West Orange, NJ",350 Mt Pleasant Ave, West Orange, NJ,07052,http://www.essexcountycc.com/,,,,,
Estancia,lwacaser@estanciaclub.com,480) 473-4400,"27998 N 99th Pl, Scottsdale, AZ",27998 N 99th Pl, Scottsdale, AZ,85262,http://www.estanciaclub.com,,,,no account,no account
Eugene CC,"(Bill Morach, head golf professional) billm@eugenecountryclub.com",(541) 345-0181,"255 Country Club Rd, Eugene, OR",255 Country Club Rd, Eugene, OR,97401,http://www.eugenecountryclub.com,,,,@EugeneCC,https://www.facebook.com/pages/Eugene-Country-Club/294833300589086
Fallen Oak,*no email listed,(228) 386-7015,"24400 Mississippi 15, Saucier, MS",24400 Mississippi 15, Saucier, MS,39574,http://www.fallenoak.com/-home,,,,,
Farm Neck,farmneckgolfclub@farmneck.net,(508) 693-3057,"1 Farm Neck Way, Martha's Vineyard, MA ",1 Farm Neck Way, Martha's Vineyard, MA ,02568,http://www.farmneck.net/Club/Scripts/Home/home.asp,,,,no account,https://www.facebook.com/FarmNeckCafe?rf=123867927664501
FarmLinks at Pursell,information@pursellfarms.com,877-292-3276,"        2200 Farm Links Blvd, Sylacauga, AL",        2200 Farm Links Blvd, Sylacauga, AL,35151,http://pursellfarms.com,Latitude : 33.117487  Longitude : -86.419754,"Par - 72 // 7,444 yards",?,@PursellFarms,https://www.facebook.com/pursellfarms
Fenway GC,no email listed,(914) 723-6000,"7 Old Mamaroneck Road â€¢ Scarsdale, NY",7 Old Mamaroneck Road,Scarsdale,NY,10583,http://www.fenwaygolfclub.com,,,,@FenwayGC,no actual page
Firekeeper GC,help@firekeepergolf.com,(785) 966-2100,"12524 150th Rd, Mayetta, KS",12524 150th Rd, Mayetta, KS,66509,http://www.firekeepergolf.com/-about-us,,,,@firekeepergolf,https://www.facebook.com/firekeepergolf
Firestone CC (South),*no email listed; contact form,(330) 644-8441,"452 E Warner Rd, Akron, OH ",452 E Warner Rd, Akron, OH ,44319,http://www.clubcorp.com/Clubs/Firestone-Country-Club,,,,,https://www.facebook.com/FirestoneCountryClub
Fishers Island GC,no email listed; website is for members only,(631) 788-7221,"20449 E Main Rd, Fishers Island, NY",20449 E Main Rd, Fishers Island, NY,06390,http://www.fishersislandclub.com,,,,no account,no actual page
Flint Hills National,denise_pitts@flinthillsnational.com,(316) 733-7272,"# 1 Flint Hills National Dr, Andover, KS",# 1 Flint Hills National Dr, Andover, KS,67002,http://flinthillsnational.com,,Par- 71 //,?,no account,no actual page
Flossmoor CC,,(708) 798-4700,"1441 Western Ave, Flossmoor, IL ",1441 Western Ave, Flossmoor, IL ,60422,http://www.flossmoorcc.org,,,,no account,https://www.facebook.com/flossmoorcountryclub
Forest Creek GC (North),no email listed; contact form available,(910) 693-1996,"200 Meyer Farm Dr, Pinehurst, NC ",200 Meyer Farm Dr, Pinehurst, NC ,28374,http://www.forestcreekgolfclub.com,,,,no account,no actual page
Forest Creek GC (South),no email listed; contact form available,(910) 693-1996,"200 Meyer Farm Dr, Pinehurst, NC ",200 Meyer Farm Dr, Pinehurst, NC ,28374,http://www.forestcreekgolfclub.com,,,,no account,no actual page
Forest Dunes,"*no email listed, contact form (asks for phone number and mailing address)",(989) 275-0700,"6376 Forest Dunes Dr, Roscommon, MI
",6376 Forest Dunes Dr, Roscommon," MI
",48653,http://www.forestdunesgolf.com,,,,@forestdunesgolf,https://www.facebook.com/fdunes?ref=br_tf
Forest Highlands (Canyon),"no email listed, contact form",(928) 525-5200,"2425 William Palmer, Flagstaff, AZ",2425 William Palmer, Flagstaff, AZ,86001,http://www.fhgc.com,,,,no account,https://www.facebook.com/fhgcusgirlsjunior
Forest Ridge GC,info@forestridge.com,(918) 357-2282,"7501 E Kenosha St, Broken Arrow, OK",7501 E Kenosha St, Broken Arrow, OK,74014,http://forestridgegolf.com,,"Par 71, 7083 yards; Par 72, 6826 - 5341 yards",$38 - $70,@ForestRidgeGC,https://www.facebook.com/forestridgegolfclub
Fort GC,,,,,,,,,,,,,
"Fox Chapel GC
",,,,,,,,,,,,,
Fox Hopyard,foxhopyard@golfthefox.com,(860) 434-6644,"Fox Hopyard Rd, East Haddam, CT",Fox Hopyard Rd, East Haddam, CT,06423,http://www.golfthefox.com,,,,not listed on site,https://www.facebook.com/pages/Fox-Hopyard-Golf-Club/189445497770534
Franklin HIlls CC,,,"Farmington Hills, MI",,Farmington Hills, MI,,,,,,,
Frederica GC,,(912) 634-6900,"100 Pikes Bluff Dr, St Simons Island, GA ",100 Pikes Bluff Dr, St Simons Island, GA ,31522,http://www.fredericaliving.com/frederica-golf-club,,,,,
French Lick Resort (Dye),?,888.936.9360,French Lick,,French Lick,,,http://www.frenchlick.com/golf/petedye,,,,@FrenchLickResor,https://www.facebook.com/golffrenchlick
French Lick Resort (Ross),?,888.936.9360,French Lick,,French Lick,,,http://www.frenchlick.com/golf/donaldross,,,,@FrenchLickResor,https://www.facebook.com/golffrenchlick
Friar's Head,*no email listed,(631) 722-5200,"3000 Sound Ave, Riverhead, NY ",3000 Sound Ave, Riverhead, NY ,11901,http://www.friarshead.org,,,,no account,no actual page
Galloway National Golf Club,,(609) 748-1000,"270 S New York Rd, Galloway, NJ",270 S New York Rd, Galloway, NJ,08205,http://www.gallowaynationalgolf.com,,,,no account,no actual page
Garden City GC,"(Sam Nerses, GM) SamNerses@gardencitycountryclub.org",(516) 747-2929,"Garden City, NY",,Garden City, NY,11530,http://www.gardencitycountryclub.org,,,,no account,no actual page
"Gasparilla Inn, Club ","*no email listed, contact form",(941) 964-4500,"500 Palm Ave, Boca Grande, FL",500 Palm Ave, Boca Grande, FL,33921,http://www.the-gasparilla-inn.com,,,,no account,https://www.facebook.com/GasparillaInn
Gateway National Golf Links,"*no email listed, contact form (asks for mailing address)",(618) 482-4653,"18 Golf Dr, Madison, IL",18 Golf Dr, Madison, IL,62060,http://gatewaynational.com,,,,@GatewayNational,https://www.facebook.com/gatewaynational
Gaylord Springs GL,amcclane-bunn@gaylordhotels.com,(615) 458-1730,"18 Springhouse Ln, Nashville, TN",18 Springhouse Ln, Nashville, TN,37214,http://www.gaylordsprings.com,,,,@GaylordSprings,https://www.facebook.com/GaylordSpringsGolf
"GC at Glen Mills
",inquiries@glenmillsgolf.com,(610) 558-2142,"221 Glen Mills Rd, Glen Mills, PA",221 Glen Mills Rd, Glen Mills, PA,19342,http://www.glenmillsgolf.com,,,,no account,https://www.facebook.com/pages/Golf-Course-At-Glen-Mills/100857876625561
GC at Sand Hollow (Championship),"*no email listed, contact form",(435) 656-4653â€Ž," 5662 W Clubhouse Drive Hurricane, Ut", 5662 W Clubhouse Drive ,Hurricane,UT,84737,http://www.sandhollowresorts.com/championship-course/,,"Par & yardage  72, 7400",Oct-May $55-$125 June-Sept $40-$70,widget doesn't work,https://www.facebook.com/SandHollowGolf
Geneva National GC (Gary Player),inns@gnresort.com,(262) 245-7000,"
        1221 Geneva National Ave S, Lake Geneva, WI","
        1221 Geneva National Ave S", Lake Geneva, WI,53147,http://www.genevanationalresort.com,,,,@GNationalGolf,https://www.facebook.com/genevanationalgolf
Genoa Lakes (Ranch),"(Lou Eiguren, Director of Golf) lou@genoalakes.com",775-782-7700,"1 Genoa Lakes Dr, Genoa, NV",1 Genoa Lakes Dr, Genoa, NV,89411,http://www.genoalakes.com/golf/,,,,@genoalakes,https://www.facebook.com/pages/Genoa-Lakes-Golf-Club-and-Resort/199570897243
George Wright Municipal GC,?,?,Boston,,Boston,MA,,,,,,?,?
"Giants Ridge Golf, Ski Resort (Quarry)",info@giantsridge.com,(800) 688-7669,"6325 Wynne Creek Dr, Biwabik, MN",6325 Wynne Creek Dr, Biwabik, MN,55708,http://www.giantsridge.com,,,,@GiantsRidge,https://www.facebook.com/GiantsRidge
